項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
1526,特願2013-520938,特表2013-537748,"2010/07/30
2012/02/02
2015/05/29",ビデオ品質を測定する方法および装置,トムソン ライセンシング,"H04L12/70@E 
H04L12/70,100@Z 
H04N17/02@A"
1527,特願2013-520781,特表2013-538543,"2011/07/18
2012/01/19
-",送電網用の機械学習,ザ トラスティーズ オブ コロンビア ユニバーシティ イン ザ シティー オブ ニューヨーク 他,"G06N5/04,550@J 
G06N5/04,580@A 
G06Q50/06 
他"
1528,特願2010-145982,特開2012-008908,"2010/06/28
2012/01/12
2013/11/01",重要日時表現判定方法、重要日時表現判定装置、重要日時表現判定プログラム,日本電信電話株式会社,"G06F17/27@Z 
G06F17/30,220@B 
G06F17/27,685"
1529,特願2010-145863,特開2012-008899,"2010/06/28
2012/01/12
2013/11/08",検索クエリ推薦装置及び検索クエリ推薦プログラム,日本電信電話株式会社,"G06F17/30,330@Z 
G06F17/30,340@B"
1530,特願2013-518435,特表2013-535717,"2011/06/14
2012/01/12
-",骨格関節認識および追跡システム,マイクロソフト コーポレーション,"G06F3/01,310@C 
G06T7/20,300@A 
G06F3/01,570"
1531,特願2010-137099,特開2012-000228,"2010/06/16
2012/01/05
2014/01/31",筋活動診断装置および方法、並びにプログラム,ソニー株式会社,"A61B5/04,330"
1532,特願2013-516834,特表2013-535014,"2011/06/24
2011/12/29
2016/10/07",生物学的試片をスペクトル画像により分析する方法,シレカ セラノスティクス エルエルシー 他,"G01N21/27@A 
G01N21/27@Z 
G01N21/35,105 
他"
1533,特願2013-513189,特表2013-528873,"2011/05/11
2011/12/08
2014/05/16",リサーチミッション識別,ヤフー！ インコーポレイテッド,"G06F17/30,210@D 
G06F17/30,220@Z 
G06F17/30,340@B 
他"
1534,特願2010-103736,特開2011-232997,"2010/04/28
2011/11/17
2013/02/22",機械学習方法および機械学習システム,株式会社ＮＴＴドコモ,"G06F17/30,170@A 
G06F17/30,180@A 
G06F17/30,210@D 
他"
1535,特願2010-103734,特開2011-232996,"2010/04/28
2011/11/17
2012/11/30",機械学習方法および機械学習システム,株式会社ＮＴＴドコモ,"G06N3/00,550@Z 
G06N3/12,160 
G06N99/00,153 
他"
1536,特願2010-095845,特開2011-227644,"2010/04/19
2011/11/10
2013/11/29",画像処理装置、画像処理方法及びプログラム,ソニー株式会社,"G06F3/048,654@D 
G06T17/40@G 
G06T19/00@G 
他"
1537,特願2013-509131,特表2013-528866,"2011/04/29
2011/11/10
2014/08/01",入札価格展望ツール,ヤフー！ インコーポレイテッド,"G06Q30/02,150 
G06Q30/08 
G06Q30/02,380"
1538,特願2010-091855,特開2011-221878,"2010/04/13
2011/11/04
-",多倍長演算装置、暗号化装置、復号装置、演算方法、プログラムおよび記録媒体,学校法人 中央大学 他,"G06F7/50@G 
G06F7/50@M 
G06F7/505,510 
他"
1539,特願2010-083535,特開2011-215891,"2010/03/31
2011/10/27
2012/12/28",スパムブログ抽出装置及び方法,ヤフー株式会社,"G06F13/00,540@E 
G06F15/00,330@A 
G06F17/30,210@D 
他"
1540,特願2010-081000,特開2011-212094,"2010/03/31
2011/10/27
2013/07/19",診断支援システム、診断支援装置、診断支援方法および診断支援プログラム,富士フイルム株式会社,"A61B5/00@A 
A61B5/00@G"
1541,特願2010-064512,特開2011-198075,"2010/03/19
2011/10/06
2013/06/28",自然言語解析装置、方法及びプログラム,ヤフー株式会社,"G06F17/27@E 
G06F17/27@L 
G06F17/27,610"
1542,特願2010-064447,特開2011-198065,"2010/03/19
2011/10/06
2012/10/19",スパムブログ判定装置及び方法,ヤフー株式会社,"G06F13/00,540@E 
G06F17/28@Z 
G06F17/30,210@D 
他"
1543,特願2010-063057,特開2011-197934,"2010/03/18
2011/10/06
-",情報処理装置および方法、並びにプログラム,ソニー株式会社,"G06T7/00,250 
G06T7/00,300@F"
1544,特願2010-056972,特開2011-191973,"2010/03/15
2011/09/29
-",動きベクトル計測装置および方法,富士フイルム株式会社,"G06T7/20@B 
G06T7/20 
G06T7/223"
1545,特願2010-059321,特開2011-191252,"2010/03/16
2011/09/29
-",金属の表面品質評価方法および金属の表面品質評価装置,新日鉄住金エンジニアリング株式会社,G01N21/892@A
1546,特願2013-500602,特表2013-524744,"2011/03/25
2011/09/29
-",電気エネルギーを生成する風力発電機を制御する方法,エン－エコ エス．ピー．エイ．,"G05B13/04 
H02J7/00,303@B 
H02P9/00@F 
他"
1547,特願2012-507068,再表2011/118723,"2011/03/24
2011/09/29
2015/05/29",意味抽出装置、意味抽出方法、および、プログラム,日本電気株式会社,"G06F17/30,170@A 
G06F17/30,210@D"
1548,特願2010-042938,特開2011-180746,"2010/02/26
2011/09/15
2013/11/01",関係情報拡張装置、関係情報拡張方法、及びプログラム,独立行政法人情報通信研究機構,"G06F3/048,656@C 
G06F17/27@Z 
G06F17/27,695 
他"
1549,特願2013-500046,特表2013-522762,"2011/03/14
2011/09/15
-",スケジュールされたウェブベースイベントの対話型カレンダー,ライヴ マトリックス インコーポレイテッド,"G06F13/00,550@A 
G06Q30/02,150 
G06Q50/10,160 
他"
1550,特願2010-039651,特開2011-175497,"2010/02/25
2011/09/08
2013/06/14",データ抽出装置、データ抽出方法、及びプログラム,日本電信電話株式会社,"G06F17/27@Z 
G06F17/30,170@A 
G06F17/30,210@D 
他"
1551,特願2010-036402,特開2011-170786,"2010/02/22
2011/09/01
2013/08/23",文書分類システムおよび文書分類プログラムならびに文書分類方法,株式会社野村総合研究所,"G06F17/30,170@A 
G06F17/30,210@D"
1552,特願2010-029405,特開2011-165087,"2010/02/12
2011/08/25
2013/08/02",重要語抽出装置、重要語抽出方法及び重要語抽出プログラム,日本電信電話株式会社,"G06F17/27@Z 
G06F17/30,170@A 
G06F17/30,210@A 
他"
1553,特願2010-027064,特開2011-164942,"2010/02/10
2011/08/25
-",ＷＥＢサイトの評価装置、ＷＥＢサイトの評価方法およびＷＥＢサイトの評価プログラム,日本電信電話株式会社,"G06F17/30,419@B"
1554,特願2012-552073,特表2013-519165,"2011/02/03
2011/08/11
2016/06/17",電子メッセージシステムと方法,アルコード コーポレーション,"G06F13/00,510@A"
1555,特願2010-009106,特開2011-150408,"2010/01/19
2011/08/04
2014/02/14",生体および脳機能計測に基づくヒューマンインターフェイス,株式会社日立製作所,"A61B5/14,322 
G01N21/17,620 
G06F3/01,310@B 
他"
1556,特願2010-008650,特開2011-150381,"2010/01/19
2011/08/04
2013/04/05",表情識別器作成装置，表情識別器作成方法，表情認識装置，表情認識方法およびそれらのプログラム,日本電信電話株式会社,"G06F17/30,170@B 
G06F17/30,350@C 
G06N3/00,560@C 
他"
1557,特願2010-006094,特開2011-143059,"2010/01/14
2011/07/28
2014/07/11",顔面動作推定装置及び顔面動作推定方法,国立大学法人 筑波大学,"A61B5/04,300@M 
A61B5/10,310@A 
A61B5/11"
1558,特願2009-299287,特開2011-138440,"2009/12/30
2011/07/14
2014/02/14",異表記取得装置、異表記取得方法、およびプログラム,独立行政法人情報通信研究機構,"G06F17/27@Z 
G06F17/30,170@A 
G06F17/30,320@D 
他"
1559,特願2009-297708,特開2011-138306,"2009/12/28
2011/07/14
2013/10/18",文書要約装置、文書処理装置、及びプログラム,独立行政法人情報通信研究機構,"G06F17/30,170@A 
G06F17/30,220@A"
1560,特願2009-290519,特開2011-133962,"2009/12/22
2011/07/07
2014/04/04",可溶性予測装置および可溶性予測方法,独立行政法人産業技術総合研究所 他,"C12M1/00@A 
C12Q1/68@A 
G06F19/00,100 
他"
1561,特願2009-290490,特開2011-130677,"2009/12/22
2011/07/07
2014/04/18",発現予測装置および発現予測方法,独立行政法人産業技術総合研究所 他,"C12M1/00@A 
C12Q1/68@A 
G06F19/24"
1562,特願2009-281585,特開2011-124846,"2009/12/11
2011/06/23
2013/11/29",画像符号化装置,株式会社ＫＤＤＩ研究所,"H04N7/133@Z 
H04N7/137@Z 
H04N11/04@A 
他"
1563,特願2009-277084,特開2011-118786,"2009/12/04
2011/06/16
-",情報処理装置、観測値予測方法、及びプログラム,ソニー株式会社,"G06F19/00,100 
G06N3/00,550@C 
G06Q10/04 
他"
1564,特願2012-543298,特表2013-513387,"2010/12/09
2011/06/16
-",循環器疾患の診断と分類のためのバイオマーカーアッセイ,アヴィール インコーポレイテッド,"C12N15/00@G 
C12Q1/68@A 
G01N33/68 
他"
1565,特願2012-541207,特表2013-511988,"2010/11/24
2011/06/03
-",過敏性腸症候群診断用の新規なゲノムバイオマーカー,ネステク ソシエテ アノニム,"A61K31/55 
A61K45/00 
A61P1/00 
他"
1566,特願2009-263853,特開2011-108085,"2009/11/19
2011/06/02
-",知識構築装置およびプログラム,日本放送協会,"G06F17/28@Z 
G06F17/30,180@A 
G06N5/04,550@N 
他"
1567,特願2012-540475,特表2013-511786,"2010/11/22
2011/05/26
-",色選択を支援するための方法およびシステム,アルカテル－ルーセント,"G06F3/048,653@A 
G06F17/21,530@E 
G06F17/30,180@A 
他"
1568,特願2009-253521,特開2011-100229,"2009/11/04
2011/05/19
2013/12/06",画像処理装置、画像処理方法,キヤノン株式会社,"G06T7/00,300@F"
1569,特願2009-252559,特開2011-100175,"2009/11/04
2011/05/19
2013/06/07",人物行動判定装置及びそのプログラム,日本放送協会,"G06T7/20,300@Z"
1570,特願2009-240820,特開2011-086261,"2009/10/19
2011/04/28
2013/09/20",情報処理装置及び情報処理方法,キヤノン株式会社,"G06T7/00,300@E 
G06T7/00,350@Z"
1571,特願2011-537053,再表2011/048672,"2009/10/21
2011/04/28
2013/03/15",データ処理装置及びデータ処理方法及びプログラム,三菱電機株式会社,"G06F13/00,620 
G06F17/30,210@D"
1572,特願2009-230579,特開2011-081431,"2009/10/02
2011/04/21
2013/12/27",行動パターン解析システム、携帯端末、行動パターン解析方法、及びプログラム,ソニー株式会社,"G06F17/30,110@G 
G06F17/30,210@D 
G06F17/30,310@Z 
他"
1573,特願2009-221469,特開2011-070440,"2009/09/25
2011/04/07
2013/12/06",情報処理装置、情報処理方法およびプログラム,バイドゥ株式会社,"G06F17/30,210@A 
G06F17/30,320@D"
1574,特願2009-220993,特開2011-070408,"2009/09/25
2011/04/07
2013/08/23",画像分類装置,ＫＤＤＩ株式会社,"G06F17/30,170@B 
G06F17/30,210@D 
G06T1/00,200@E"
1575,特願2011-534344,再表2011/040591,"2010/09/30
2011/04/07
2013/11/22",ＤＣ／ＤＣコンバータの制御装置,国立大学法人 長崎大学 他,H02M3/28@H
1576,特願2009-214909,特開2011-065380,"2009/09/16
2011/03/31
2013/12/06",意見分類装置およびプログラム,日本放送協会,"G06F17/27@Z 
G06F17/30,170@A 
G06F17/30,210@D 
他"
1577,特願2012-526899,特表2013-503393,"2010/08/24
2011/03/03
-",偽陽性を減少させるために複数のインラインヒューリスティックを使用するためのシステムおよび方法,シマンテック コーポレーション,"G06N3/00,550@Z 
G06N5/04,580@A 
G06N5/04,580@J 
他"
1578,特願2009-178673,特開2011-034262,"2009/07/31
2011/02/17
2014/03/07",データ作成装置、上位語取得装置、データ作成方法、およびプログラム,独立行政法人情報通信研究機構,"G06F17/30,170@J 
G06F17/30,210@D 
G06F17/30,230@Z 
他"
1579,特願2009-178137,特開2011-034220,"2009/07/30
2011/02/17
2014/03/20",字訳装置、コンピュータプログラム及び記録媒体,独立行政法人情報通信研究機構,"G06F17/28@Z 
G06F17/28,618"
1580,特願2009-177488,特開2011-034171,"2009/07/30
2011/02/17
2013/07/19",単語間の意味的関係の有無についての、複数言語での同時分類器及びそのためのコンピュータプログラム。,独立行政法人情報通信研究機構,"G06F17/27@M 
G06F17/27@Z 
G06F17/28@Z 
他"
1581,特願2012-524786,特表2013-502009,"2010/08/10
2011/02/17
2014/08/22",評価システムでのクライアント装置の信頼度メトリクスの使用,シマンテック コーポレーション,"G06F21/00,157@D 
G06F21/57,370"
1582,特願2010-131837,特開2011-028230,"2010/06/09
2011/02/10
2014/02/14",歌唱合成用データベース生成装置、およびピッチカーブ生成装置,ヤマハ株式会社,"G10L13/00,100@Y 
G10L13/00,100@Z 
G10L13/033,102@B 
他"
1583,特願2009-154762,特開2011-013720,"2009/06/30
2011/01/20
2013/04/19",カテゴリ判定ルールの作成方法、装置およびコンピュータプログラム,ＪＦＥスチール株式会社,"G06T7/00,350@B 
G06T7/00,610"
1584,特願2009-157527,特開2011-013454,"2009/07/02
2011/01/20
2013/06/21",歌唱合成用データベース生成装置、およびピッチカーブ生成装置,ヤマハ株式会社,"G10L13/02,122@B 
G10L13/033,102@B 
G10L13/06,130 
他"
1585,特願2009-149713,特開2011-009921,"2009/06/24
2011/01/13
-",ブレ判定システム、ブレ判定プログラム及びカメラ,株式会社ニコンシステム,"G06T5/20@B 
H04N5/232@Z 
G06T5/20 
他"
1586,特願2010-173815,特開2011-008802,"2010/08/02
2011/01/13
2012/08/31",カメラで取得されたドキュメント用の低解像度のＯＣＲ,マイクロソフト コーポレーション,"G06F17/21,530@A 
G06K9/66 
G06K9/68@E 
他"
1587,特願2009-153187,特開2011-008651,"2009/06/29
2011/01/13
-",情報処理装置,株式会社日立製作所,"G06F17/18@D 
G06T7/00,200@B 
G06T7/10 
他"
1588,特願2009-148259,特開2011-008312,"2009/06/23
2011/01/13
2013/10/18",言語解析装置及びプログラム,富士ゼロックス株式会社,"G06F17/21,550@A 
G06F17/27@J 
G06F17/27@Z 
他"
1589,特願2009-144154,特開2011-002929,"2009/06/17
2011/01/06
-",分散電力供給システムおよびその制御方法,日本電信電話株式会社,"G06F17/60,110 
G06F17/60,150 
G06Q50/06 
他"
1590,特願2012-517441,特表2012-531661,"2009/06/26
2010/12/29
2013/09/13",通信ネットワークにおける方法および構成,テレフオンアクチーボラゲット エル エム エリクソン（パブル）,"G06F17/30,210@D 
G06F17/30,220@Z 
G06F17/30,340@A"
1591,特願2009-136521,特開2010-282502,"2009/06/05
2010/12/16
2013/07/05",分類パラメータ生成装置、生成方法及び生成プログラム,株式会社リコー,"G06F17/30,170@A 
G06F17/30,210@D 
G06N5/04,580@A 
他"
1592,特願2009-135501,特開2010-282440,"2009/06/04
2010/12/16
2013/07/12",学習装置、クラス識別装置、学習方法、およびプログラム,公立大学法人公立はこだて未来大学 他,"G06F17/30,210@D 
G06N3/00,560@A 
G06N5/04,580@A 
他"
1593,特願2012-515136,特表2012-530289,"2010/06/10
2010/12/16
-",階層アーキテクチャ内の結果最適化のための生産的分散,グーグル インコーポレイテッド,"G06F12/00,513@J 
G06F17/30,110@C"
1594,特願2012-513274,特表2012-528406,"2010/05/27
2010/12/02
2015/09/04",検索結果のマージ,マイクロソフト コーポレーション,"G06F7/24@M 
G06F7/36 
G06F17/30,110@C 
他"
1595,特願2011-513340,再表2010/131641,"2010/05/11
2010/11/18
-",細胞の状態を判別する方法,独立行政法人産業技術総合研究所,"C12Q1/02 
C12Q1/68@A 
G01N21/64@F 
他"
1596,特願2009-109662,特開2010-257406,"2009/04/28
2010/11/11
2012/07/20",適正単語取得装置、機械学習装置及び方法,ヤフー株式会社,"G06F17/27@Z 
G06F17/30,170@A 
G06F17/30,210@A 
他"
1597,特願2012-509855,特表2012-526281,"2010/04/30
2010/11/11
-",電力の公共使用、監視および管理のためのシステムおよび方法,シンクエコ インコーポレイテッド,"G01R21/00@P 
H02J13/00,301@A"
1598,特願2009-093622,特開2010-244380,"2009/04/08
2010/10/28
2014/05/09",情報処理装置および方法、並びにプログラム,ソニー株式会社,"G06F17/30,340@A 
G06F17/30,360@Z"
1599,特願2012-507361,特表2012-524947,"2010/04/21
2010/10/28
2014/08/08",複製データの動的配置,マイクロソフト コーポレーション,"G06F12/00,545@B 
G06F21/10 
G06F21/22,110@F"
1600,特願2012-507360,特表2012-524946,"2010/04/21
2010/10/28
2014/10/31",バックアップデータのインテリジェント階層,マイクロソフト コーポレーション,"G06F12/00,514@E 
G06F12/00,531@M 
G06F12/00,545@A 
他"
1601,特願2009-087806,特開2010-238134,"2009/03/31
2010/10/21
-",画像処理装置及びプログラム,サクサ株式会社,"G06T17/40@B 
G06T19/20"
1602,特願2009-086389,特開2010-238041,"2009/03/31
2010/10/21
2013/07/12",分類体系改正支援プログラム、分類体系改正支援装置、および分類体系改正支援方法,富士通株式会社,"G06F17/30,170@Z 
G06F17/30,210@D 
G06F17/30,350@C"
1603,特願2012-505254,特表2012-523877,"2010/03/09
2010/10/21
2014/03/28",臨床決定支援システム及び方法,コーニンクレッカ フィリップス エヌ ヴェ,"A61B5/00@D 
A61B5/00@G 
A61B19/00,501 
他"
1604,特願2012-506134,特表2012-523645,"2010/04/13
2010/10/21
2015/03/13",動的シグナルの相関分析による、パターン認識、機械学習、および自動遺伝子型分類の迅速な方法,キヤノン ユー．エス． ライフ サイエンシズ， インコーポレイテッド,"C12M1/34@B 
C12N15/00@A 
C12Q1/68@Z 
他"
1605,特願2009-070959,特開2010-224833,"2009/03/23
2010/10/07
2013/12/13",オントロジー生成装置、及び方法,株式会社東芝,"G06F17/28@U 
G06F17/30,170@J 
G06F17/27,635 
他"
1606,特願2009-048550,特開2010-204866,"2009/03/02
2010/09/16
2012/11/30",重要キーワード抽出装置及び方法及びプログラム,日本電信電話株式会社,"G06F17/21,550@A 
G06F17/30,170@A 
G06F17/30,180@Z 
他"
1607,特願2009-044680,特開2010-198492,"2009/02/26
2010/09/09
-",情報選択指標推定方法、情報選択指標推定装置、情報選択指標推定プログラム、情報提供方法および情報提供システム,日本電信電話株式会社,"G06F17/30,110@C 
G06F17/30,340@A 
G06F17/60,326 
他"
1608,特願2009-040771,特開2010-198189,"2009/02/24
2010/09/09
2013/11/15",機械学習装置及び方法,ヤフー株式会社,"G06F17/27@Z 
G06F17/30,350@C 
G06N5/04,580@A 
他"
1609,特願2009-037684,特開2010-191851,"2009/02/20
2010/09/02
2012/09/14",記事特徴語抽出装置、記事特徴語抽出方法及びプログラム,ヤフー株式会社,"G06F17/21,550@A 
G06F17/30,220@A 
G06F17/27,645"
1610,特願2009-037564,特開2010-191337,"2009/02/20
2010/09/02
2014/04/11",楽曲処理装置、およびプログラム,ヤマハ株式会社,"G10H1/00@B 
G10L11/00,402@K 
G10L25/51,300"
1611,特願2009-036789,特開2010-187993,"2009/02/19
2010/09/02
2013/03/15",血圧測定装置及びプログラム並びに記録媒体,株式会社デンソー,"A61B5/02,332@Z 
A61B5/02,337@E 
A61B5/02,630@Z 
他"
1612,特願2011-551107,特表2012-518236,"2010/02/04
2010/08/26
-",ジェスチャー認識のための方法及びシステム,オーメック インタラクティブ，リミテッド,"G06F3/01,310@C 
G06F3/038,310@Y 
G06T7/20,300@A 
他"
1613,特願2009-025531,特開2010-183384,"2009/02/06
2010/08/19
2012/07/20",撮影カメラ学習装置及びそのプログラム,日本放送協会,"H04N5/222@Z 
H04N5/225@F 
H04N5/91@Z 
他"
1614,特願2009-024840,特開2010-182078,"2009/02/05
2010/08/19
-",画像処理装置及び画像処理プログラム,オリンパス株式会社,"G06T1/00,340@A 
G06T7/00,300@F 
G06T7/00,660@A"
1615,特願2009-008310,特開2010-165265,"2009/01/17
2010/07/29
2013/04/19",サーバ処理分散装置、サーバ処理分散方法及びサーバ処理分散プログラム,日本電気株式会社,"G06F1/00,334@P 
G06F1/00,340 
G06F9/46,350 
他"
1616,特願2009-007697,特開2010-165230,"2009/01/16
2010/07/29
-",薬剤標的となるタンパク質－タンパク質相互作用を予測する方法及び予測システム,株式会社ファルマデザイン,"G06F19/00,600 
G06F19/00,616 
G06F19/00,618 
他"
1617,特願2009-004975,特開2010-165046,"2009/01/13
2010/07/29
2013/04/05",情報処理装置及び情報処理方法,キヤノン株式会社,"G06N3/00,560@C 
G06T7/00,350@B 
G06N99/00,153 
他"
1618,特願2011-545384,特表2012-514813,"2010/01/04
2010/07/15
-",並行して、コンテンツの有効性についての因果関係実験を遂行し、ビジネス目的を最適化するためにコンテンツ配信を調整するための、システム及び方法,スリーエム イノベイティブ プロパティズ カンパニー,"G06F17/60,326 
G06Q30/02,150 
G06Q30/02,470"
1619,特願2011-540182,特表2012-512351,"2009/12/14
2010/07/08
2014/05/09",航空エンジン内の故障の識別,スネクマ,"F01D25/00@W 
F01D25/00@X 
F02C7/00@A"
1620,特願2008-316940,特開2010-140318,"2008/12/12
2010/06/24
2012/12/14",文書分類器のパラメータを調整する文書分類装置及び方法,ヤフー株式会社,"G06F17/30,170@A 
G06F17/30,210@D 
G06F17/30,220@Z"
1621,特願2008-315993,特開2010-140263,"2008/12/11
2010/06/24
2013/05/31",自然言語処理装置及びプログラム,富士ゼロックス株式会社,"G06F17/27@E 
G06F17/28@U 
G06F17/27,610 
他"
1622,特願2008-311729,特開2010-134811,"2008/12/08
2010/06/17
2011/05/20",宛先正否判定システム,株式会社野村総合研究所,"G06F13/00,601@A 
G06F13/00,610@S 
H04L12/58,100@F"
1623,特願2008-311725,特開2010-134810,"2008/12/08
2010/06/17
-",宛先正否判定システム,株式会社野村総合研究所,"G06F13/00,601@A"
1624,特願2010-541203,再表2010/064371,"2009/11/19
2010/06/10
-",紹介システム、紹介方法および紹介プログラム,日本電気株式会社,"G06F17/30,170@B 
G06F17/30,320@Z 
G06F17/30,350@A 
他"
1625,特願2008-297962,特開2010-124644,"2008/11/21
2010/06/03
2013/03/08",エネルギーシステム制御装置および制御方法,日本電信電話株式会社,"G06F17/60,110 
G06Q50/06 
H01M10/44@P 
他"
1626,特願2009-239922,特開2010-118050,"2009/10/17
2010/05/27
-",特許文献自動検索システムおよび特許文献自動検索方法,国立大学法人豊橋技術科学大学,"G06F17/30,170@Z 
G06F17/30,210@D 
G06F17/30,350@C 
他"
1627,特願2008-291379,特開2010-117941,"2008/11/13
2010/05/27
2013/07/19",Ｗｅｂ文書主要コンテンツ抽出装置及びプログラム,日本電信電話株式会社,"G06F17/30,210@A"
1628,特願2011-536467,特表2012-508903,"2009/11/12
2010/05/20
2015/12/11",自動音声－テキスト変換のためのシステムと方法,エスシーティアイ ホールディングス、インク,"G10L15/04,200 
G10L15/10,400@R 
G10L15/18,300@H 
他"
1629,特願2011-543757,特表2012-508631,"2009/11/16
2010/05/20
2015/01/09",被検者の循環系評価,ダイアログ デヴァイシーズ リミテッド,"A61B5/02,340@D 
A61B5/02,800@D 
A61B5/02,860 
他"
1630,特願2008-279497,特開2010-108239,"2008/10/30
2010/05/13
2012/07/06",顔文字検出装置、その方法、プログラム及び記録媒体,日本電信電話株式会社,"G06F17/21,501@T 
G06F17/21,550@A 
G06F17/27@Z 
他"
1631,特願2008-273683,特開2010-102521,"2008/10/24
2010/05/06
2013/02/08",辞書作成装置、辞書作成方法および辞書作成プログラム並びに辞書作成プログラムを記録した記録媒体,日本電信電話株式会社,"G06F17/27@J 
G06F17/28@C 
G06F17/28@U 
他"
1632,特願2008-270559,特開2010-102371,"2008/10/21
2010/05/06
2012/06/15",顔文字検出装置、その方法、プログラム及び記録媒体,日本電信電話株式会社,"G06F17/21,501@T 
G06F17/21,550@A 
G06F17/27@Z 
他"
1633,特願2008-270558,特開2010-102370,"2008/10/21
2010/05/06
2012/08/31",顔文字検出装置、その方法、プログラム及び記録媒体,日本電信電話株式会社,"G06F17/21,501@T 
G06F17/21,550@A 
G06F17/27@Z 
他"
1634,特願2011-534716,特表2012-513048,"2009/10/28
2010/05/06
2014/10/17",遺伝子コピー数変化のパターンに基づいた非小細胞肺癌のゲノム分類,アッヴィ・インコーポレイテッド,"C12Q1/68@A 
G01N33/48@M 
G06F19/24 
他"
1635,特願2011-534725,特表2012-507800,"2009/10/28
2010/05/06
2013/10/18",１種以上の医薬組成物の有効性を試験することに使用する癌細胞系のパネルを構築するための方法,アッヴィ・インコーポレイテッド,"C12Q1/04 
C12Q1/68@A 
G01N33/48@Z 
他"
1636,特願2011-534724,特表2012-507799,"2009/10/28
2010/05/06
2014/09/05",遺伝子コピー数の変化のパターンに基づいた悪性メラノーマのゲノム分類,アッヴィ・インコーポレイテッド,"C12Q1/02 
C12Q1/68@A 
G01N33/48@M 
他"
1637,特願2011-534722,特表2012-507798,"2009/10/28
2010/05/06
2014/07/04",遺伝子コピー数の変化のパターンに基づいた結腸直腸癌のゲノム分類,アッヴィ・インコーポレイテッド,"G06F19/00,624 
G06F19/24"
1638,特願2008-262871,特開2010-092352,"2008/10/09
2010/04/22
2012/06/29",顔文字検出装置、その方法、プログラム及び記録媒体,日本電信電話株式会社,"G06F17/21,501@T 
G06F17/22,520@L 
G06F17/27@Z 
他"
1639,特願2008-262870,特開2010-092351,"2008/10/09
2010/04/22
-",顔文字検出装置、その方法、プログラム及び記録媒体,日本電信電話株式会社,"G06F17/21,501@T 
G06F17/21,550@A 
G06F17/27,670"
1640,特願2008-262869,特開2010-092350,"2008/10/09
2010/04/22
2012/06/29",顔文字検出装置、その方法、プログラム及び記録媒体,日本電信電話株式会社,"G06F17/21,501@T 
G06F17/21,550@A 
G06F17/27@Z 
他"
1641,特願2011-531363,特表2012-506061,"2008/10/15
2010/04/22
-",デジタル音楽音響信号の分析方法,ムゼーカ ソシエテ アノニム,"G10G3/04 
G10L11/00,402@K 
G10L25/51,300"
1642,特願2008-252450,特開2010-086150,"2008/09/30
2010/04/15
2012/01/27",地域情報検索装置、地域情報検索装置の制御方法、地域情報検索システム、および地域情報検索システムの制御方法,ヤフー株式会社,"G06F17/30,170@Z 
G06F17/30,310@Z 
G06F17/30,340@B 
他"
1643,特願2011-531101,特表2012-505474,"2009/10/05
2010/04/15
2014/08/29",翻字のための機械学習,グーグル・インコーポレーテッド,"G06F17/27@Z 
G06F17/28,663 
G06F17/30,170@A 
他"
1644,特願2008-249451,特開2010-081453,"2008/09/29
2010/04/08
-",付帯情報付加装置及び方法,富士フイルム株式会社,"H04N5/76@B 
H04N5/91@Z 
H04N5/91 
他"
1645,特願2008-246693,特開2010-081251,"2008/09/25
2010/04/08
2011/06/24",変調方式推定装置および方法,株式会社東芝,"H04B1/16@Z 
H04J11/00@Z 
H04L27/00@Z 
他"
1646,特願2008-237376,特開2010-072779,"2008/09/17
2010/04/02
2013/06/14",データ分類装置及びコンピュータプログラム,三菱電機株式会社,"G06F13/00,620 
G06F17/30,210@D 
G06N3/00,560@A 
他"
1647,特願2008-265751,特開2010-067243,"2008/09/12
2010/03/25
2012/11/09",引用判定方法及びそれを用いた評判抽出方法,ヤフー株式会社,"G06F13/00,540@A 
G06F17/21,570@R 
G06F17/30,170@A 
他"
1648,特願2008-226769,特開2010-061420,"2008/09/04
2010/03/18
2012/09/14",商品情報検索装置、方法及びシステム,ヤフー株式会社,"G06F17/30,110@C 
G06F17/30,170@Z 
G06F17/30,340@Z 
他"
1649,特願2008-225425,特開2010-061323,"2008/09/03
2010/03/18
2013/02/15",作業評価値予測方法、プログラム及びシステム,インターナショナル・ビジネス・マシーンズ・コーポレーション,"G06F17/60,162@Z 
G06Q10/00,140 
G06Q10/06,130 
他"
1650,特願2008-224324,特開2010-061254,"2008/09/02
2010/03/18
2012/06/29",行動履歴分析方法、装置及びプログラム,ヤフー株式会社,"G06F13/00,540@P 
G06F15/00,330@F 
G06F17/30,220@Z 
他"
1651,特願2008-217206,特開2010-056682,"2008/08/26
2010/03/11
-",電子メール受信装置及び電子メール受信方法、電子メール送信装置及び電子メール送信方法、メール送信サーバ,独立行政法人情報通信研究機構,"G06F13/00,605@P 
G06F17/21,550@A 
G06F17/28@Z 
他"
1652,特願2008-218488,特開2010-055303,"2008/08/27
2010/03/11
2013/03/22",学習データ管理装置、学習データ管理方法及び車両用空調装置ならびに機器の制御装置,株式会社デンソーアイティーラボラトリ 他,"G06N3/00,550@E 
G06N5/04,550@J 
G06N3/08,140 
他"
1653,特願2008-217897,特開2010-054266,"2008/08/27
2010/03/11
2013/05/24",浸水予測装置,鹿島建設株式会社,G01W1/10@P
