項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
79,特願2018-087963,特開2018-156668,"2018/05/01
2018/10/04
-",学習が強化されたアトラスベース自動輪郭抽出方法及び装置,エレクタ、インク．,"G06T7/12 
G06N99/00,150 
G06T7/00,350@B"
80,特願2018-047567,特開2018-156652,"2018/03/15
2018/10/04
-",診断装置、診断システム、診断方法およびプログラム,株式会社リコー,"G05B19/18@W 
B23Q17/09@A 
B23Q17/09@F 
他"
81,特願2017-219802,特開2018-156626,"2017/11/15
2018/10/04
-",空調設備のリモートインテリジェント有限状態機械制御システム,台達電子工業股▲ふん▼有限公司,"G06F9/06,620@A 
F24F11/02@F 
F24F11/02,103@A 
他"
82,特願2017-053541,特開2018-156473,"2017/03/17
2018/10/04
2018/10/12",解析装置、解析方法、およびプログラム,ヤフー株式会社,"G06F17/30,220@A 
G06F17/30,220@Z 
G06F17/30,340@B 
他"
83,特願2017-052127,特開2018-156348,"2017/03/17
2018/10/04
-",障害監視装置、障害監視システムおよびプログラム,株式会社リコー,"G06F11/34,152 
G06F11/07,157 
G06F11/07,140@A"
84,特願2017-051979,特開2018-156335,"2017/03/16
2018/10/04
-",コンテンツ提供装置、コンテンツ提供方法およびコンテンツ提供プログラム,ヤフー株式会社,"G06Q30/02,392"
85,特願2017-051654,特開2018-156296,"2017/03/16
2018/10/04
-",教育支援システムおよび教育支援方法,株式会社日立製作所,"G06Q50/20 
G09B19/00@Z"
86,特願2017-051503,特開2018-156272,"2017/03/16
2018/10/04
-",対話システム、対話装置及びそのためのコンピュータプログラム,国立研究開発法人情報通信研究機構,"G06F17/30,220@Z 
G06F17/30,180@A 
G06F17/30,170@A 
他"
87,特願2017-050080,特開2018-156151,"2017/03/15
2018/10/04
-",異常検知装置及び機械学習装置,ファナック株式会社,"G05B19/18@X 
G05B23/02,302@S 
G05B23/02@P 
他"
88,特願2017-050713,特開2018-155522,"2017/03/16
2018/10/04
-",データ解析装置,株式会社島津製作所,"G01N27/62@Y 
G01N30/86@D 
G01N30/86@G"
89,特願2017-054267,特開2018-153902,"2017/03/21
2018/10/04
-",機械学習装置及び熱変位補正装置,ファナック株式会社,"B23Q15/18 
G05B19/404@K"
90,特願2017-054266,特開2018-153901,"2017/03/21
2018/10/04
-",機械学習装置及び熱変位補正装置,ファナック株式会社,"B23Q15/18 
G05B19/404@K"
91,特願2017-050083,特開2018-153872,"2017/03/15
2018/10/04
-",洗浄工程最適化装置及び機械学習装置,ファナック株式会社,B23Q11/00@N
92,特願2017-052446,特開2018-153391,"2017/03/17
2018/10/04
-",電子機器、泳法判定方法、泳法判定プログラム及び記憶媒体,セイコーエプソン株式会社,"A63B71/06@M 
A63B31/10 
A63B31/12"
93,特願2018-053250,特許6400871,"2018/03/20
2018/10/03
2018/09/14",発話制御装置、発話制御方法、および発話制御プログラム,ヤフー株式会社,"G10L13/02,130@Z 
G10L15/22,200@Z 
G10L13/00,100@M 
他"
94,特願2018-088946,特開2018-152106,"2018/05/02
2018/09/27
-",水上侵入検知システムおよびその方法,株式会社日立国際電気,"G08B25/00,510@M 
G01V8/10@S 
G08B21/00@A 
他"
95,特願2018-037459,特開2018-152063,"2018/03/02
2018/09/27
-",学習結果識別装置、学習結果識別方法、及びそのプログラム,オムロン株式会社,"G06N99/00,150"
96,特願2017-049608,特開2018-152012,"2017/03/15
2018/09/27
-",機械学習装置、サーボ制御装置、サーボ制御システム、及び機械学習方法,ファナック株式会社,"G05B19/4155@V 
G06N99/00,150 
G05B13/02@L 
他"
97,特願2017-049429,特開2018-152004,"2017/03/15
2018/09/27
-",情報処理装置及びプログラム,富士ゼロックス株式会社,"G06N99/00,153 
G06F17/30,220@Z 
G06N3/02"
98,特願2017-049391,特開2018-152000,"2017/03/15
2018/09/27
-",分析データ解析装置及び分析データ解析方法,株式会社島津製作所,"G06N99/00,153 
G01N27/62@D"
99,特願2017-049141,特開2018-151990,"2017/03/14
2018/09/27
-",通知装置、通知方法、及びそのプログラム,オムロン株式会社,G06N3/02
100,特願2017-049140,特開2018-151989,"2017/03/14
2018/09/27
-",学習結果比較装置、学習結果比較方法、及びそのプログラム,オムロン株式会社,"G06N99/00,150"
101,特願2017-049007,特開2018-151974,"2017/03/14
2018/09/27
-",学習成果識別装置、学習成果識別方法、及びそのプログラム,オムロン株式会社,"G06N99/00,150 
G06N3/08"
102,特願2017-048924,特開2018-151969,"2017/03/14
2018/09/27
-",データベース装置、学習結果管理方法、及びそのプログラム,オムロン株式会社,"G06N99/00,150 
G06F17/30,220@C 
G06F17/30,170@Z 
他"
103,特願2017-048778,特開2018-151959,"2017/03/14
2018/09/27
-",判定装置、判定プログラムおよび学習方法,オムロン株式会社,"G06N99/00,150"
104,特願2017-048039,特開2018-151892,"2017/03/14
2018/09/27
-",モデル学習装置、情報判定装置およびそれらのプログラム,日本放送協会,"G06F17/30,210@D 
G06F17/30,220@Z 
G06F17/30,170@A 
他"
105,特願2017-047791,特開2018-151876,"2017/03/13
2018/09/27
-",機械学習に使用される経験を格納する経験データベースを更新する方法,株式会社日立製作所,"G06N99/00,150 
B25J5/00@E 
G06N3/08,140 
他"
106,特願2017-047444,特開2018-151843,"2017/03/13
2018/09/27
-",入力画像から検出した対象物の像の尤度を計算する画像処理装置および画像処理方法,ファナック株式会社,"G06T7/00,350@B 
G06T7/00,610 
B25J13/08@A"
107,特願2017-047332,特開2018-151833,"2017/03/13
2018/09/27
-",識別器学習装置および識別器学習方法,パナソニック株式会社,"G06T1/00,340@B 
G06T7/00,350@B"
108,特願2017-046848,特開2018-151802,"2017/03/12
2018/09/27
-",通信機器に搭載したセンサーを活用した保険料の価格付け装置,畑 加寿也,G06Q40/08
109,特願2017-045240,特開2018-151687,"2017/03/09
2018/09/27
-",管理装置、情報処理装置および管理方法,株式会社東芝,"G06F12/16,310@A 
G06F12/00,597@U 
G06F12/02,570@A 
他"
110,特願2017-049043,特開2018-151575,"2017/03/14
2018/09/27
-",製造システム及び組立体の製造方法並びにプログラム,株式会社ニコン,"G02B3/00@Z 
G03B17/14 
G05B19/418@Z"
111,特願2017-048114,特開2018-151134,"2017/03/14
2018/09/27
-",冷凍システム、冷凍装置、冷凍方法、およびプログラム,日本電気株式会社,"F25B1/00,361@D 
F25B1/00,371@F"
112,特願2018-023614,特開2018-149670,"2018/02/14
2018/09/27
-",学習対象装置及び動作方法,オムロン株式会社,B25J13/00@Z
113,特願2018-023612,特開2018-149669,"2018/02/14
2018/09/27
-",学習装置及び学習方法,オムロン株式会社,"B25J13/00@Z 
G05B13/02@L"
114,特願2017-047459,特開2018-149628,"2017/03/13
2018/09/27
-",機械学習により補正した計測データでワークの取り出しを行うロボットシステム、計測データ処理装置および計測データ処理方法,ファナック株式会社,"B25J13/00@Z 
B25J13/08@A"
115,特願2017-173563,特開2018-149260,"2017/09/08
2018/09/27
-",睡眠段階判定装置、睡眠段階判定方法及びプログラム,学校法人立命館 他,"A61B5/16 
A61B5/10,310@A 
A61B5/11"
116,特願2017-173562,特開2018-149259,"2017/09/08
2018/09/27
-",睡眠段階判定装置、睡眠段階判定方法及びプログラム,国立大学法人電気通信大学,"A61B5/16 
A61B5/10,310@A 
A61B5/11"
117,特願2017-048625,特開2018-149168,"2017/03/14
2018/09/27
-",生体機能についての医学的検査の得点判定装置、及びプログラム,学校法人日本大学,"A61B10/00@H 
A61B5/02,800@D 
A61B5/14,322 
他"
118,特願2017-041721,特開2018-148408,"2017/03/06
2018/09/20
-",情報処理装置、情報処理方法、及びプログラム,ＫＤＤＩ株式会社,H04L12/26
119,特願2017-040921,特開2018-148367,"2017/03/03
2018/09/20
-",画像処理装置、画像処理システム、画像処理方法、及びプログラム,キヤノン株式会社,"H04N5/225 
G06T1/00,280 
H04N7/18@K 
他"
120,特願2017-038725,特開2018-148281,"2017/03/01
2018/09/20
-",画像処理装置,株式会社ブライセン,"H04N9/07@C 
H04N9/73@A 
H04N5/232,290"
121,特願2017-040326,特開2018-147978,"2017/03/03
2018/09/20
-",データ生成方法、データ生成装置及びデータ生成プログラム,富士通株式会社,H01L21/66@J
122,特願2018-026134,特開2018-147474,"2018/02/16
2018/09/20
-",学習装置、学習結果利用装置、学習方法及び学習プログラム,オムロン株式会社,"G06N99/00,153 
G06N99/00,156 
G06N3/04 
他"
123,特願2018-007737,特開2018-147470,"2018/01/19
2018/09/20
-",ユーザの業務状況を管理するための方法、プログラム及び情報処理装置,株式会社フィラメント,"G06Q10/06,302"
124,特願2017-045017,特開2018-147443,"2017/03/09
2018/09/20
-",故障予知方法、故障予知装置および故障予知プログラム,安川情報システム株式会社,G05B23/02@R
125,特願2017-043745,特開2018-147351,"2017/03/08
2018/09/20
-",知識モデル構築システム及び知識モデル構築方法,学校法人トヨタ学園 他,"G06N5/02 
G06F17/30,419@B 
G06F17/30,180@A 
他"
126,特願2017-042472,特開2018-147280,"2017/03/07
2018/09/20
-",データ分析装置及びデータ分析方法,株式会社日立ソリューションズ,G06Q10/04
127,特願2017-040325,特開2018-147155,"2017/03/03
2018/09/20
-",データ生成方法、データ生成装置及びデータ生成プログラム,富士通株式会社,"G06N99/00,150 
G06T7/00,350@C"
128,特願2017-043108,特開2018-146448,"2017/03/07
2018/09/20
-",状態診断装置,オークマ株式会社,"G01M99/00@Z 
G05B23/02@G"
129,特願2017-039806,特開2018-146308,"2017/03/02
2018/09/20
-",検出装置,株式会社日立製作所,"G01N27/416,300@U
G01N21/64@Z 
G01N27/414,301@R 
他"
130,特願2017-043321,特開2018-145925,"2017/03/07
2018/09/20
-",エンジン回転数制御装置、及びエンジン回転数制御方法,三菱重工業株式会社,"F02D29/00@B 
E02F9/20@M 
F02D45/00,340@H 
他"
131,特願2017-044274,特開2018-144207,"2017/03/08
2018/09/20
-",仕上げ加工量予測装置及び機械学習装置,ファナック株式会社,"B23Q15/00@A 
G06N99/00,153 
G06N3/02"
132,特願2017-042849,特開2018-144078,"2017/03/07
2018/09/20
-",レーザ加工装置および機械学習装置,ファナック株式会社,"B23K26/00@M 
G06N99/00,150 
G06N3/02"
133,特願2017-041151,特開2018-144069,"2017/03/03
2018/09/20
-",アーク溶接システム及びアーク溶接判定装置,株式会社安川電機,"B23K9/095,515@Z 
B23K9/073,545 
B23K9/10@Z 
他"
134,特願2017-039319,特開2018-143333,"2017/03/02
2018/09/20
-",見守り支援システム及びその制御方法,オムロン株式会社,"A61B5/00,102@A 
H04N7/18@D 
G08B25/04@K 
他"
135,特願2018-021672,特許6393433,"2018/02/09
2018/09/19
2018/08/31",情報処理装置、情報処理方法およびプログラム,株式会社ビコー,"G05D1/02@S 
A47L9/28@E 
B25J19/06 
他"
136,特願2018-024187,特開2018-142957,"2018/02/14
2018/09/13
-",管理装置、コンピュータに実行させるためのプログラムおよびそのプログラムを記録したコンピュータ読み取り可能な記録媒体,株式会社国際電気通信基礎技術研究所 他,"H04W16/14 
G06N99/00,153"
137,特願2018-033691,特開2018-142705,"2018/02/27
2018/09/13
-",電極体、評価装置及び評価方法,信越ポリマー株式会社,"H01G13/00,371@Z 
H01G9/052,500 
H01G9/00,290@Z"
138,特願2018-047268,特開2018-142326,"2018/02/27
2018/09/13
-",異なる空間におけるファジィ事象確率測度のモデルの構築方法、その装置、及びそのプログラム、及びそのブログラムが搭載された汎用モバイル端末装置,顧 澤蒼,"G06N7/02,130 
G06N3/08"
139,特願2018-047267,特開2018-142325,"2018/02/27
2018/09/13
-",超深層回帰分析の機械学習モデルの構築方法、その装置、及びそのプログラム、及びそのプログラムが搭載された汎用モバイル端末装置,顧 澤蒼,"G06N3/08,180 
G06F17/18@D 
G06N3/04,154"
140,特願2018-047266,特開2018-142324,"2018/02/27
2018/09/13
-",異なる空間における距離のモデルの構築方法、その装置、及びそのプログラム、及びそのモデルを構成したプログラムが搭載された汎用モバイル端末装置,顧 澤蒼,"G06N99/00,150 
G06F17/18"
141,特願2018-047265,特開2018-142323,"2018/02/27
2018/09/13
-",超深層競合学習のニューラルネットワークモデルの構築方法、その装置、及びそのモデルが搭載された汎用モバイル端末装置、及びそのプログラム,顧 澤蒼,"G06N3/08,180 
G06N3/04,136 
G06N3/04,154 
他"
142,特願2018-010097,特開2018-142308,"2018/01/24
2018/09/13
-",露天採鉱における活動時間予測のための学習者のオンライン階層アンサンブル,株式会社日立製作所,"G06Q10/08 
G06Q10/04 
G06Q50/02"
143,特願2017-237267,特開2018-142301,"2017/12/11
2018/09/13
-",会計処理装置、会計処理システム、会計処理方法、及び会計処理プログラム,ファーストアカウンティング株式会社,"G06Q40/00,400"
